start,end,character,arousal,valence,direction,emotion,oncue,offcue
3329.0,3330.0,MRSGUMP,HIGH,NEG,OTHER,SHAME,FACE,CHARLEFT
3491.0,3499.0,ABBIEHOFFMAN,HIGH,NEG,OTHER,ANGERRAGE,AUDIO GESTURE FACE,CHARLEFT
3538.0,3579.0,JENNY,HIGH,POS,OTHER,HAPPINESS,AUDIO CONTEXT GESTURE FACE,SCENEEND
3545.0,3579.0,FORREST,HIGH,POS,OTHER,HAPPINESS,AUDIO CONTEXT GESTURE FACE VERBAL,SCENEEND
3580.0,3583.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,AUDIO,EMOFADED
3587.0,3608.0,MAN,HIGH,NEG,OTHER,ANGERRAGE,AUDIO GESTURE FACE VERBAL,EMOCHANGE
3588.0,3594.0,MAN,HIGH,NEG,OTHER,ANGERRAGE,AUDIO GESTURE FACE,CHARLEFT
3594.0,3652.0,MAN,HIGH,NEG,OTHER,CONTEMPT,AUDIO GESTURE FACE,EMOFADED
3595.0,3599.0,JENNY,LOW,NEG,OTHER,COMPASSION,AUDIO GESTURE FACE,EMOCHANGE
3600.0,3612.0,JENNY,LOW,NEG,OTHER,ANGERRAGE,GESTURE FACE,EMOFADED
3609.0,3623.0,MAN,LOW,NEG,OTHER,CONTEMPT,GESTURE FACE,EMOCHANGE
3624.0,3680.0,MAN,LOW,NEG,OTHER,ANGERRAGE,AUDIO FACE,CHARLEFT
3630.0,3646.0,FORREST,LOW,NEG,OTHER,CONTEMPT,FACE,EMOCHANGE
3634.0,3655.0,JENNY,HIGH,NEG,OTHER,ANGERRAGE,AUDIO GESTURE FACE,EMOCHANGE
3647.0,3694.0,FORREST,HIGH,NEG,OTHER,ANGERRAGE,AUDIO CONTEXT GESTURE FACE,EMOCHANGE
3656.0,3667.0,JENNY,HIGH,NEG,SELF,FEAR,AUDIO FACE,EMOCHANGE
3668.0,3701.0,JENNY,LOW,NEG,OTHER,SHAME,AUDIO CONTEXT GESTURE FACE,SCENEEND
3682.0,3701.0,CROWD,HIGH,NEG,OTHER,CONTEMPT,GESTURE FACE,SCENEEND
3695.0,3701.0,FORREST,LOW,NEG,SELF,REMORSE,AUDIO VERBAL,SCENEEND
3700.0,3706.0,FORREST,LOW,NEG,OTHER,ANGERRAGE,AUDIO GESTURE FACE,EMOFADED
3701.0,3705.0,JENNY,LOW,NEG,SELF,SHAME,AUDIO GESTURE FACE,EMOCHANGE
3706.0,3722.0,JENNY,LOW,NEG,SELF,SADNESS,AUDIO GESTURE FACE,EMOCHANGE
3713.0,3731.0,FORREST,LOW,POS,OTHER,HOPE,AUDIO FACE VERBAL,EMOCHANGE
3722.0,3742.0,JENNY,LOW,POS,OTHER,ADMIRATION,AUDIO GESTURE FACE VERBAL,EMOCHANGE
3732.0,3740.0,FORREST,LOW,POS,OTHER,PRIDE,GESTURE FACE,EMOCHANGE
3741.0,3752.0,FORREST,LOW,POS,OTHER,HAPPINESS,AUDIO FACE VERBAL,SCENEEND
3743.0,3752.0,JENNY,LOW,POS,OTHER,HAPPINESS,AUDIO FACE VERBAL,EMOFADED
3752.0,3757.0,FORRESTVO,LOW,POS,OTHER,ADMIRATION,AUDIO,SCENEEND
3757.0,3764.0,JENNY,HIGH,POS,SELF,SATISFACTION,CONTEXT GESTURE FACE,SCENEEND
3757.0,3764.0,FORRESTVO,LOW,POS,OTHER,ADMIRATION,AUDIO,SCENEEND
3769.0,3773.0,JENNY,LOW,POS,OTHER,GRATITUDE,GESTURE FACE,EMOFADED
3774.0,3778.0,MAN,HIGH,POS,SELF,HAPPINESS,AUDIO FACE VERBAL,SCENEEND
3778.0,3785.0,FORRESTVO,LOW,POS,OTHER,LOVE,AUDIO,EMOFADED
3786.0,3806.0,FORREST,LOW,NEG,OTHER,SADNESS,VERBAL,EMOCHANGE
